ID,Name,Glottocode
ProtoKaren,Proto-Karen,kare1337
ProtoKarenBurling,Proto-Karen (Burling),kare1337
ProtoNorthernkaren,Proto-Northern-Karen,nort2703
ProtoCentralKaren,Proto-Central-Karen,cent1999
ProtoSouthernKaren,Proto-Southern-Karen,sout1554
Kayah,Kayah,east2342
Kayan,Kayan,kaya1315
Kayaw,Kayaw,brek1238
NorthernPao,Northern Pa-O,nort2705
NorthernPwo,Northern Pwo,pwon1235
NorthernSgaw,Northern Sgaw,
SouthernPao,Southern Pa-O,sout2712
SouthernPwo,Southern Pwo,
SouthernSgaw,Southern Sgaw,sgaw1245
WesternBwe,Western Bwe,bwek1238
