LEXEME	REPLACEMENT	COMMENT
*~kuᴬ/ᴮ	*~kuᴬᴮ
*g/k-hmaᴮ	*g|k-hmaᴮ
*k/s-wɛjᴬ/ᴮ	*k|s-wɛjᴬ|ᴮ
*t/daɁᴰɁbaŋᴬ	*t|daɁᴰɁbaŋᴬ
*t/k-hnɔɁᴰ	*t|k-hnɔɁᴰ
*hlaŋᴬ/ᴮ k-daɁᴰ	*hlaŋᴬᴮ k-daɁᴰ	
*jaj ᴬ	*jajᴬ	
*khwiᴬ *khwi⁴ (RB)	*khwiᴬ	
khe³³jɨ¹¹ ̈ ‘lion’	khe³³jɨ¹¹	
hwa¹¹~hau¹¹	hwa¹¹	
kɨ³³~kə³³	kɨ³³	
hwɛ³³~khwɛ³³	hwɛ³³	
tre⁵⁵~te⁵⁵re⁵⁵	tre⁵⁵	
lip⁴⁵~lit⁴⁵	lip⁴⁵	
sam³³~ɕam³³	sam³³	
laɁ²¹~la¹¹	laɁ²¹	
klɛ³³~klɛɁ⁴⁵	klɛ³³	
bɣaɁ²¹~phɣaɁ²¹	bɣaɁ²¹	
pə¹¹ɣe³³~pɣe³³	pə¹¹ɣe³³	
ŋap⁴⁵~ŋat⁴⁵	nap⁴⁵	
lip⁴⁵~lit⁴⁵	lip⁴⁵	
lek⁴⁵~lik⁴⁵	lek⁴⁵	
sam⁵³~saŋ⁵³	sam⁵³	
jəm⁵⁵~jən⁵⁵	jəm⁵⁵	
Ɂɛm³³~Ɂɛn³³	Ɂɛm³³	
lim⁵⁵~lin⁵⁵	lim⁵⁵	
θrɛ⁵⁵~θə⁵⁵rɛ⁵⁵	θrɛ⁵⁵	
phwi⁵⁵~phi⁵⁵	phwi⁵⁵	
wɛ³³~θə⁵⁵kwɛ⁵⁵	wɛ³³	
ki³³~khi³³	ki³³	
nwe⁵⁵~nwi⁵⁵	nwe⁵⁵	
*plaᴬ/ᴮ	*plaᴬᴮ
*p/b-naᴮ	*p|b-naᴮ
*p/biɁᴰ	*p|biɁᴰ
*k/s-lejᴬ	*k|s-lejᴬ
